Name,Meta_data,Apps,Mins,Goals,Assists,Yel_card,Red_card,ShotsPerGame,PassSuccess,AerialWonPerGame,ManOfTheMatch,Rating
Lionel Messi,"Barcelona, 32, AM(CR),FW",21(1),1891,19,12,3,-,4.8,82.9,0.3,13,8.61
Neymar,"Paris Saint-Germain, 28, AM(CLR),FW",15,1322,13,6,2,1,4.7,80.6,0.1,8,8.58
Robert Lewandowski,"Bayern Munich, 31, FW",23,2042,25,3,4,-,4.7,71,2.1,5,8.16
Kylian Mbappé,"Paris Saint-Germain, 21, AM(LR),FW",17(3),1516,18,5,-,-,4.4,80.4,0.2,6,8.14
Josip Ilicic,"Atalanta, 32, AM(CLR),FW",19(2),1492,15,5,1,1,3.6,81.4,0.1,7,7.95
Kevin De Bruyne,"Manchester City, 28, M(CLR),FW",25(1),2156,8,16,2,-,2.9,81.7,0.4,7,7.92
Cristiano Ronaldo,"Juventus, 35, M(L),FW",22,1945,21,3,2,-,5.9,84.1,1.3,9,7.90
Jadon Sancho,"Borussia Dortmund, 20, AM(LR)",21(2),1807,14,15,1,-,2,84.4,-,6,7.90
Ángel Di María,"Paris Saint-Germain, 32, M(CLR),FW",23(3),2005,8,14,2,-,2.8,78.5,-,6,7.75
Dimitri Payet,"Marseille, 33, M(CLR)",22,1937,9,4,5,1,2.9,76.6,0.4,8,7.73
